Plx,Gmag,BP-RP
7.3083,13.6060,1.8048
7.3087,17.4903,3.1741
7.3090,15.6913,2.8089
7.3092,17.4156,2.8910
7.3092,12.3888,1.3680
7.3093,17.8164,3.2166
7.3109,10.1018,0.8084
7.3111,16.8254,1.6389
7.3116,11.0891,1.0163
7.3116,17.0696,3.2544
7.3120,16.6030,3.0844
7.3127,14.5274,2.2232
7.3131,15.0381,2.4276
7.3132,14.8186,2.3429
7.3132,16.6257,2.9140
7.3136,16.2834,2.9198
7.3136,14.4012,2.4147
7.3137,15.5944,2.6850
7.3138,17.0799,2.9915
7.3142,9.6911,0.7631
7.3166,10.3988,0.8527
7.3168,15.6446,2.6479
7.3183,17.4894,3.2849
7.3186,10.9430,0.9584
7.3187,16.9994,3.1501
7.3190,13.4878,1.7281
7.3192,13.8578,1.8998
7.3201,17.5691,3.1593
7.3202,15.0023,2.7143
7.3203,9.3683,0.6515
7.3205,16.0378,2.8016
7.3205,12.0960,1.2459
7.3210,10.5972,0.8934
7.3212,13.2397,1.6544
7.3213,15.4205,2.5929
7.3213,10.2399,0.8050
7.3220,12.0013,1.2329
7.3221,14.4498,2.5095
7.3227,12.4151,1.3816
7.3228,15.1659,2.5129
7.3232,17.4116,3.1624
7.3233,10.5764,0.8767
7.3242,16.6781,2.9627
7.3249,11.5221,1.2877
7.3262,16.9633,3.1085
7.3264,17.1351,3.2373
7.3276,17.0121,3.1054
7.3281,15.0420,2.4514
7.3282,16.4424,2.7882
7.3289,16.3644,3.0179
7.3291,15.1975,2.4536
7.3298,15.2902,2.4747
7.3314,17.4406,3.1777
7.3316,17.2557,3.0685
7.3320,13.6485,1.8285
7.3322,13.7310,1.9064
7.3327,8.7605,0.5418
7.3330,12.0406,1.2242
7.3334,12.4231,1.3543
7.3337,15.8142,2.7874
7.3344,16.6342,3.0522
7.3350,17.8525,3.1549
7.3350,17.1434,3.1653
7.3367,15.5312,2.4765
7.3382,13.3945,1.8433
7.3383,15.2953,2.5278
7.3386,13.3484,1.6673
7.3393,16.3888,2.9221
7.3399,10.6452,0.8971
7.3405,5.6231,-0.0931
7.3416,17.2127,3.1840
7.3420,15.7767,2.5076
7.3421,12.5720,1.4119
7.3428,13.7323,1.8267
7.3431,13.4851,1.7527
7.3432,11.1627,1.0094
7.3440,15.2938,2.7844
7.3447,13.6940,1.8266
7.3449,13.9689,1.9593
7.3452,17.7597,3.3940
7.3453,10.4091,0.8434
7.3453,6.4090,-0.0142
7.3458,15.0278,2.4903
7.3461,15.8613,2.7667
7.3467,17.3212,3.1023
7.3469,11.8894,1.6295
7.3469,11.2092,1.0704
7.3471,8.2317,0.3587
7.3471,16.6581,2.8881
7.3487,13.5971,1.7923
7.3491,16.2312,2.9068
7.3491,13.0262,1.5597
7.3491,17.2116,2.8628
7.3495,8.8806,0.5444
7.3497,12.2136,1.2762
7.3499,14.5811,2.5578
7.3503,17.1619,2.6414
7.3509,11.9649,1.2158
7.3512,16.6049,3.0164
7.3525,15.1821,2.4827
7.3526,17.8391,3.2979
7.3527,12.4060,1.3970
7.3537,15.5402,2.9801
7.3538,16.5844,3.2003
7.3538,17.6454,3.2114
7.3552,7.9406,0.2425
7.3556,17.5594,3.1703
7.3557,16.6002,3.0005
7.3561,16.5058,2.9622
7.3567,17.9473,3.3857
7.3567,17.5819,3.2493
7.3579,14.2884,2.3871
7.3580,14.7630,2.5739
7.3581,16.6106,2.8263
7.3585,16.3492,2.9158
7.3587,16.7211,2.7971
7.3590,6.8809,0.0344
7.3590,15.9558,2.7972
7.3598,17.4746,2.5130
7.3615,16.1672,2.9978
7.3617,9.5906,0.7037
7.3618,10.5444,0.8898
7.3618,12.7025,1.4580
7.3619,17.7214,3.1400
7.3624,17.5989,3.1873
7.3625,17.3216,3.1901
7.3629,14.3764,2.1192
7.3633,15.7890,2.7021
7.3636,16.5941,3.0656
7.3636,16.8199,3.2608
7.3637,14.8201,2.3305
7.3640,10.8423,0.9790
7.3650,11.4647,1.0799
7.3650,15.4628,2.8883
7.3651,16.3322,2.6817
7.3654,14.6281,2.2249
7.3656,13.9019,1.9039
7.3658,16.3574,3.0487
7.3664,17.5628,3.1420
7.3665,15.2039,2.5053
7.3674,15.6258,2.6437
7.3677,15.3805,2.5844
7.3682,15.5818,2.6321
7.3689,9.0496,0.6422
7.3691,13.7172,1.8399
7.3696,17.4935,3.1100
7.3697,13.7540,1.8678
7.3699,8.3229,0.4207
7.3710,15.3773,2.7237
7.3730,17.2578,3.1060
7.3732,16.2769,3.0409
7.3735,10.8634,0.9680
7.3743,13.3572,1.7055
7.3744,16.3134,2.9281
7.3745,13.7550,1.9136
7.3747,16.5345,3.0117
7.3754,16.1017,2.8651
7.3776,16.6197,2.9731
7.3780,10.5285,0.9139
7.3781,16.4869,2.8728
7.3782,10.4041,0.8488
7.3793,9.8941,0.7418
7.3793,12.8952,1.5196
7.3794,13.6552,1.8241
7.3800,16.8085,3.0623
7.3815,12.8798,1.5260
7.3816,10.2288,0.9000
7.3817,16.5643,3.0227
7.3818,6.9899,0.0540
7.3824,12.7930,1.4842
7.3824,15.1990,2.5508
7.3824,14.6421,2.3016
7.3825,15.4166,2.3556
7.3832,12.7206,1.4733
7.3855,16.4259,2.8660
7.3857,9.5336,0.7429
7.3857,15.4220,2.5853
