Gmag,BP-RP
12.4800,1.3334
17.2456,1.2015
15.5994,0.8851
17.5024,1.2687
15.1983,0.8680
13.8158,1.2502
16.5775,1.0320
14.8737,0.8918
16.5069,1.0222
15.8251,0.9660
14.8550,0.8716
15.5347,0.8876
14.8300,1.0195
17.7071,1.2479
14.9008,1.0975
17.5336,1.2507
14.7784,0.9036
15.8395,1.0570
14.7828,0.9793
16.7620,1.2302
17.2559,1.2041
16.4962,0.9965
14.9543,0.8607
16.0453,0.9525
15.8847,0.9122
16.7574,1.0671
16.3220,0.9580
14.7333,0.9307
16.0122,0.9177
15.6032,0.9215
15.9764,0.9251
15.6820,0.8712
15.7949,0.8936
14.7516,0.9767
13.0608,1.3436
14.8878,0.9009
15.5773,0.8448
14.9225,0.9026
15.7274,0.8926
14.7023,0.9119
14.7811,1.1937
15.4426,0.8805
14.3226,1.2354
13.3713,0.6578
17.4768,1.2325
15.2936,0.8698
16.6298,1.0422
15.7456,0.9029
15.0623,0.8675
14.7756,0.8982
17.2988,1.2481
17.8078,1.4606
15.5093,0.8737
15.8893,0.7528
17.0881,1.1575
15.9445,1.0525
15.7153,0.9946
15.9756,0.9474
15.2676,0.9071
17.6803,1.3076
16.3373,0.9797
15.1377,0.8749
15.5510,0.8834
17.7396,1.2781
17.2826,1.3795
16.1068,0.9573
16.6131,1.0355
15.9866,0.9305
15.5036,0.9634
15.3750,0.8857
16.2531,1.0523
14.9141,0.8859
15.4680,0.8781
15.9735,0.9176
17.1445,1.1462
16.7133,1.0402
13.3602,1.3067
13.3559,1.2940
15.9572,0.9590
15.7169,1.0870
13.7819,1.2602
17.6487,1.3702
14.5441,1.2179
17.0160,1.1054
17.6270,1.2779
15.6451,0.8973
14.8036,0.8975
15.8177,0.9021
15.8259,0.9259
15.9568,0.9228
15.3331,0.8734
15.5632,0.9159
15.3522,0.8902
16.8002,1.1819
17.7478,1.3096
17.6726,1.2916
16.5536,1.0330
14.7688,0.9268
14.9332,0.8987
15.7377,0.9110
16.1944,0.9570
14.9221,0.8749
16.0821,0.9389
14.8066,0.9938
15.5101,0.8906
15.6609,0.8703
16.4336,1.0060
15.7313,0.9067
17.6909,1.3399
15.8471,0.9270
14.3344,0.8750
17.6499,1.2699
15.7186,0.8409
16.0381,0.9331
17.3168,1.4274
17.1009,1.1814
14.7939,0.9287
14.8226,0.8944
15.4939,0.8697
11.1330,1.5050
16.2842,0.9890
15.9335,0.9054
15.7683,0.9101
15.1675,0.8808
16.0146,0.9255
15.0112,0.8566
14.5551,1.2466
14.6006,0.7058
17.0877,1.1367
17.2876,1.2003
15.6272,0.9285
16.8397,1.0936
14.8846,1.2166
17.3117,1.2372
15.1078,0.9035
17.1051,1.1228
15.7929,0.9939
15.9432,0.9371
14.9699,0.9914
15.6019,0.8819
16.6601,1.0954
10.7898,1.7605
15.9019,0.9092
15.1905,0.9136
15.3139,0.8892
15.0789,0.9029
16.2154,0.9522
17.5790,1.2821
12.0569,1.3394
15.9181,0.9178
16.5106,0.9897
15.0683,0.8710
14.9803,0.8612
16.1417,0.9351
14.8211,0.9112
16.5069,1.0029
14.6960,1.2279
17.3868,1.4296
15.1151,0.8504
15.8346,0.9058
16.4980,1.1574
15.9552,0.9245
14.2237,1.1946
12.2457,1.4407
