P,m
1.50178,17.628
1.50712,17.124
4.96757,15.484
1.64219,17.311
1.25878,17.185
2.88409,16.302
2.59100,16.894
1.75604,17.506
2.26162,16.648
1.52672,17.381
1.35186,17.749
7.38993,15.578
3.09933,16.291
4.34262,15.874
2.05547,16.811
1.50181,17.627
5.24859,15.414
2.98258,16.170
1.97947,16.689
1.62951,16.877
2.79449,16.507
1.93392,16.673
1.17536,17.745
4.74242,16.195
1.22268,18.113
3.90824,16.183
1.27149,17.592
1.94280,17.040
1.65571,17.218
24.23300,13.846
2.61807,16.698
2.61339,16.389
1.21083,18.101
6.58745,15.871
2.93693,16.127
3.51574,16.500
6.11168,15.469
5.91124,15.419
1.83023,17.454
3.80244,15.924
2.30890,16.487
2.45914,16.732
1.39932,16.961
1.86317,16.461
12.57540,14.245
1.63998,17.473
3.22563,16.109
1.56745,17.357
3.04389,15.956
1.53324,17.310
30.01410,14.029
5.45954,15.878
3.20045,16.305
1.86342,16.943
3.07455,16.074
10.18320,14.363
2.77885,16.751
1.39590,17.048
1.83184,16.935
4.02759,16.292
3.71095,16.267
1.28138,17.699
2.44969,17.058
2.77764,16.470
2.87425,16.350
3.00774,16.113
9.15889,15.237
